tahun,wilayah,kecamatan,tenaga_kesehatan,jumlah
2019,Kepulauan Seribu,KEPULAUAN SERIBU UTARA,dokter,17
2019,Kepulauan Seribu,KEPULAUAN SERIBU SELATAN,dokter,21
2019,Jakarta Selatan,CILANDAK,dokter,640
2019,Jakarta Selatan,JAGAKARSA ,dokter,262
2019,Jakarta Selatan,KEBAYORAN BARU,dokter,507
2019,Jakarta Selatan,KEBAYORAN LAMA,dokter,382
2019,Jakarta Selatan,MAMPANG PRAPATAN,dokter,175
2019,Jakarta Selatan,PANCORAN,dokter,312
2019,Jakarta Selatan,PASAR MINGGU,dokter,346
2019,Jakarta Selatan,PESANGGRAHAN,dokter,278
2019,Jakarta Selatan,SETIABUDI,dokter,590
2019,Jakarta Selatan,TEBET,dokter,158
2019,Jakarta Timur,JATINEGARA,dokter,373
2019,Jakarta Timur,MATRAMAN,dokter,231
2019,Jakarta Timur,PULOGADUNG,dokter,296
2019,Jakarta Timur,CAKUNG,dokter,185
2019,Jakarta Timur,DUREN SAWIT,dokter,262
2019,Jakarta Timur,KRAMAT JATI,dokter,294
2019,Jakarta Timur,MAKASAR,dokter,341
2019,Jakarta Timur,CIPAYUNG,dokter,194
2019,Jakarta Timur,PASAR REBO,dokter,291
2019,Jakarta Timur,CIRACAS,dokter,252
2019,Jakarta Pusat,Cempaka Putih,dokter,502
2019,Jakarta Pusat,Johar Baru,dokter,76
2019,Jakarta Pusat,Menteng,dokter,514
2019,Jakarta Pusat,Tanah Abang,dokter,468
2019,Jakarta Pusat,Kemayoran,dokter,493
2019,Jakarta Pusat,Senen,dokter,1498
2019,Jakarta Pusat,Sawah Besar,dokter,296
2019,Jakarta Pusat,Gambir,dokter,444
2019,Jakarta Barat,KEMBANGAN,dokter,47
2019,Jakarta Barat,KEBON JERUK,dokter,57
2019,Jakarta Barat,PALMERAH,dokter,40
2019,Jakarta Barat,GROGOL PETAMBURAN,dokter,42
2019,Jakarta Barat,TAMBORA,dokter,43
2019,Jakarta Barat,TAMAN SARI,dokter,29
2019,Jakarta Barat,CENGKARENG,dokter,64
2019,Jakarta Barat,KALIDERES,dokter,56
2019,Jakarta Utara,Penjaringan,dokter,795
2019,Jakarta Utara,Pademangan,dokter,98
